RUN,MODEL,SPLIT_DIR,SEED,LR,RNN_LR,WD,BS,FREEZE
1,cnn_lstm,data/splits_20s,31184,2.00e-04,3.04e-06,9.54e-04,32,true
2,cnn_lstm,data/splits,87250,9.88e-04,1.92e-06,2.93e-06,192,false
3,cnn_lstm,data/splits_10s,2310,1.23e-04,3.01e-05,3.78e-05,64,false
4,cnn_only,data/splits,34481,2.04e-04,n/a,3.77e-06,256,false
5,cnn_only,data/splits_20s,29848,2.45e-05,n/a,1.64e-04,192,false
6,cnn_only,data/splits,33288,1.70e-04,n/a,1.15e-06,64,false
2,cnn_lstm,data/splits_20s,75370,3.42e-05,2.07e-06,4.08e-06,256,true
3,cnn_lstm,data/splits,52300,1.78e-04,2.70e-06,1.56e-04,32,false
4,cnn_only,data/splits_20s,81590,1.00e-05,n/a,8.21e-04,256,false
5,cnn_only,data/splits,49112,5.90e-04,n/a,4.72e-05,256,false
7,cnn_lstm_ln,data/splits_10s,41035,1.34e-05,4.67e-06,8.55e-05,192,false
6,cnn_only,data/splits_10s,1863,4.11e-05,n/a,1.18e-05,192,false
7,cnn_lstm_ln,data/splits,39780,5.62e-04,2.00e-05,1.18e-05,192,false
8,cnn_lstm_ln,data/splits,81245,5.77e-05,1.68e-05,4.34e-06,192,false
8,cnn_lstm_ln,data/splits,86748,3.03e-04,1.64e-06,1.36e-06,32,false
9,cnn_lstm_ln,data/splits,79851,7.42e-04,6.11e-06,2.33e-06,32,true
11,cnn_lstm_seq16,data/splits_10s,80824,1.53e-05,9.19e-06,3.39e-05,32,false
12,cnn_lstm_seq16,data/splits,42000,2.96e-04,1.10e-06,6.62e-06,64,false
19,bilstm,data/splits_20s,54327,1.70e-05,3.11e-05,1.49e-04,128,false
20,bilstm,data/splits_20s,59068,3.78e-04,4.08e-05,1.11e-06,64,false
21,bilstm,data/splits,63785,4.55e-05,1.47e-06,1.28e-05,32,false
13,cnn_bilstm_seq24,data/splits_20s,13205,4.47e-04,9.40e-06,1.77e-06,128,false
14,cnn_bilstm_seq24,data/splits_10s,88720,3.84e-05,1.61e-06,5.61e-06,256,true
22,simple_lstm,data/splits,55680,8.23e-05,7.38e-06,4.08e-05,128,false
15,cnn_bilstm_seq24,data/splits_20s,76340,3.63e-05,1.62e-06,1.19e-06,128,false
23,simple_lstm,data/splits,47205,7.81e-05,4.47e-05,5.41e-05,64,false
16,cnn_lstm_meanpool,data/splits_20s,94016,1.69e-04,2.27e-05,1.06e-04,32,false
17,cnn_lstm_meanpool,data/splits,48556,5.65e-04,1.55e-06,1.35e-05,32,false
24,simple_lstm,data/splits,44640,8.57e-04,6.32e-06,1.71e-05,32,false
25,lstm_only,data/splits,33130,2.45e-04,n/a,2.06e-04,128,false
18,cnn_lstm_meanpool,data/splits_10s,91224,3.87e-05,1.84e-05,1.11e-06,64,false
26,lstm_only,data/splits,13054,4.76e-05,n/a,1.63e-05,192,false
27,lstm_only,data/splits,86640,2.78e-04,n/a,3.20e-06,192,false
28,residual,data/splits_10s,99344,1.33e-04,1.20e-06,1.55e-06,64,true
19,bilstm,data/splits,17092,3.11e-05,7.68e-05,1.88e-04,64,false
29,residual,data/splits_20s,7705,2.55e-05,2.01e-06,3.82e-04,192,false
30,residual,data/splits,61320,3.75e-05,1.73e-06,3.36e-05,32,true
31,gru,data/splits,12509,2.19e-05,2.30e-05,8.39e-05,64,false
20,bilstm,data/splits_10s,14900,4.61e-05,5.07e-06,8.41e-05,192,false
21,bilstm,data/splits_20s,90668,1.88e-04,3.22e-06,4.98e-06,128,false
22,simple_lstm,data/splits_20s,40884,1.32e-04,3.14e-06,1.65e-06,192,true
32,gru,data/splits_20s,16150,7.92e-04,1.59e-06,5.02e-05,256,true
23,simple_lstm,data/splits,9589,3.08e-04,1.26e-05,1.91e-05,128,false
33,gru,data/splits_10s,51680,3.66e-05,9.00e-05,4.98e-06,64,false
24,simple_lstm,data/splits_10s,67476,1.24e-04,3.73e-05,1.50e-05,192,false
25,lstm_only,data/splits_10s,79277,8.46e-04,n/a,6.65e-05,64,false
34,attention,data/splits,34747,5.23e-05,2.64e-05,1.42e-04,128,true
26,lstm_only,data/splits_20s,77384,2.09e-05,n/a,2.56e-06,192,false
27,lstm_only,data/splits_20s,53615,1.41e-04,n/a,8.08e-06,64,false
28,residual,data/splits_20s,73152,1.91e-05,8.33e-05,3.28e-06,256,false
29,residual,data/splits,54650,3.88e-04,2.88e-05,7.58e-06,64,false
35,attention,data/splits_10s,80125,2.01e-05,7.39e-06,3.56e-06,192,false
36,attention,data/splits_20s,13666,4.66e-05,9.05e-06,2.01e-05,64,false
30,residual,data/splits,99947,1.65e-04,4.33e-06,3.39e-04,192,false
31,gru,data/splits,16120,2.87e-04,8.65e-06,3.70e-05,64,false
32,gru,data/splits_10s,98762,3.18e-05,7.61e-06,1.17e-04,64,false
33,gru,data/splits,35296,4.05e-05,1.41e-05,9.84e-04,64,false
34,attention,data/splits,69699,3.96e-04,2.77e-06,4.20e-05,128,false
35,attention,data/splits_10s,92058,2.10e-04,1.95e-06,3.54e-04,256,false
36,attention,data/splits_10s,95400,2.67e-04,9.52e-06,4.69e-04,32,true
