Model,Split_Dir,LR,RNN_LR,LR_Display,Diff_LR,CNN_Frozen,Weight_Decay,Batch_Size,Seed,Params,Epochs,Best_Epoch,Early_Stop,Test_F1,Test_AUROC,Test_Accuracy,Test_Loss,Val_F1,Run_ID,Date,Device,User,Platform,Torch_Vers
cnn_lstm,data/splits,0.0001,,1.00e-04,False,False,0.0001,64,123,308420,46,36,True,0.7557371326138437,0.8447136559723191,0.7634486865612387,0.6762379939797558,0.7591378178535615,cnn_lstm_seed123_20251208_154930,2025-12-08T15:49:31.293353,cuda,tomra,Windows,2.9.1+cu128
cnn_lstm,data/splits,0.0001,,1.00e-04,False,False,0.0001,64,123,308420,60,50,True,0.7545282097924096,0.8402468736474968,0.7563025210084033,0.6752848892869577,0.761565158710739,cnn_lstm_seed123_20251211_003348,2025-12-11T00:33:48.596745,cuda,tomra,Windows,2.9.1+cu128
cnn_lstm,data/splits,0.0001,,1.00e-04,False,False,0.0001,64,1,308420,50,44,False,0.749972059278128,0.8378370280606461,0.7537219612254351,0.6850426109028265,0.7533104479170789,cnn_lstm_seed1_20251208_043520,2025-12-08T04:35:20.038463,cuda,tomra,Windows,2.9.1+cu128
cnn_lstm,data/splits,0.0001,,1.00e-04,False,False,0.0001,64,123,308420,50,43,False,0.7474204117422257,0.835676277359781,0.7484285052603719,0.6761672184468573,0.7514476935829005,cnn_lstm_seed123_20251208_120316,2025-12-08T12:03:16.998340,cuda,tomra,Windows,2.9.1+cu128
cnn_lstm_ln,data/splits,0.0001,,1.00e-04,False,False,0.0001,64,123,308676,50,50,False,0.7470448475911534,0.8382105394284018,0.7484946734599351,0.6697768655130129,0.7546737253379577,cnn_lstm_ln_seed123_20251208_120139,2025-12-08T12:01:40.903989,cuda,tomra,Windows,2.9.1+cu128
cnn_lstm,data/splits,0.0001,,1.00e-04,False,False,0.0001,64,456,308420,50,45,False,0.7436006849506048,0.8346643017681145,0.7442599086878846,0.6990226312905927,0.7480283914603946,cnn_lstm_seed456_20251208_160913,2025-12-08T16:09:13.926621,cuda,tomra,Windows,2.9.1+cu128
cnn_lstm,data/splits,0.0001,,1.00e-04,False,False,0.0001,64,42,308420,47,37,True,0.7339867261272961,0.8319626743918853,0.732945146562562,0.6845164699204863,0.7372746273898568,cnn_lstm_seed42_20251208_003451,2025-12-08T00:34:52.141838,cuda,tomra,Windows,2.9.1+cu128
cnn_lstm_ln,data/splits,0.0001,,1.00e-04,False,False,0.0001,64,456,308676,50,47,False,0.7334132413527034,0.8315261803314576,0.7316217825712963,0.690185362496708,0.7436431645242185,cnn_lstm_ln_seed456_20251208_125214,2025-12-08T12:52:15.147826,cuda,tomra,Windows,2.9.1+cu128
cnn_lstm_ln,data/splits,0.0001,,1.00e-04,False,False,0.0001,64,42,308676,50,50,False,0.7324986848440508,0.8305325447904429,0.7351286971481505,0.6842428851982713,0.7422976791391537,cnn_lstm_ln_seed42_20251208_034724,2025-12-08T03:47:25.485791,cuda,tomra,Windows,2.9.1+cu128
cnn_lstm_ln,data/splits,0.0001,,1.00e-04,False,False,0.0001,64,456,308676,51,41,True,0.730066803564296,0.8356022217002115,0.7369814067359227,0.6878716180470422,0.7388756419954525,cnn_lstm_ln_seed456_20251210_223519,2025-12-10T22:35:19.864950,cuda,tomra,Windows,2.9.1+cu128
cnn_lstm,data/splits,0.0001,,1.00e-04,False,False,0.0001,64,42,308420,50,41,False,0.7244200966916959,0.824651075123747,0.7242771124197711,0.7036693739991651,0.7199217326376662,cnn_lstm_seed42_20251208_152742,2025-12-08T15:27:43.094649,cuda,tomra,Windows,2.9.1+cu128
cnn_lstm,data/splits,0.0001,,1.00e-04,False,False,0.0001,64,42,308420,51,41,True,0.7229508006104025,0.8246021966101105,0.7205055250446636,0.6964065239210672,0.7269506860934726,cnn_lstm_seed42_20251210_183227,2025-12-10T18:32:27.781748,cuda,tomra,Windows,2.9.1+cu128
